PlotID,Replicate,Row,Column,GenotypeID,DaysToPollen,LeafAreaIndex,LeafLengthCM,LeafWidthCM,PlantHeightCM,ExtantLeafNumber1,NodesWithBraceRoots,ExtantLeafNumber2,year2020,year2021,year2022,year2020_1
1731,1,27,3,764,69,2.41,61.5,8.05,152,12,1.33,12.67,1,0,0,1
2479,2,48,3,764,67,2.17,61.75,6.95,142.5,12,1.33,13.33,1,0,0,0
1511,1,19,7,787,79,3.92,80,8.95,192.5,14.5,2,17,1,0,0,1
2632,2,53,16,787,78,3,82.75,9.45,192.5,13.5,2,17,1,0,0,0
1582,1,21,22,792,71,3.94,76.25,8.25,179,13.5,1,15,1,0,0,1
2732,2,57,4,792,73,3.23,81.5,7.75,175.5,14,1,13,1,0,0,0
1784,1,28,28,793,69,4.54,76.5,7.5,189,14.5,1.67,14.67,1,0,0,1
2256,2,40,4,793,72,3.29,78.5,7.4,184.5,14,1.83,14.5,1,0,0,0
1826,1,30,14,904,66,3.93,69.75,8.4,126,10,1,12.33,1,0,0,1
2657,2,54,13,904,65,2.44,72.25,7.75,148.5,10.5,1,13,1,0,0,0
1070,1,3,14,911,64,4.1,69.25,8.75,150.5,12,2,13.33,1,0,0,1
2509,2,49,5,911,65,2.89,67,8.25,150,11.5,1.67,14.67,1,0,0,0
1183,1,7,15,912,66,2.08,64.25,8.2,148.5,12,1,13.33,1,0,0,1
2583,2,51,23,912,66,2.93,61,7.55,140,10.5,1.33,10.33,1,0,0,0
1595,1,22,7,1538,64,3.74,73,6.75,173,12,1,14,1,0,0,1
2309,2,42,1,1538,67,3.66,71.5,6.1,167,11.5,1,15,1,0,0,0
1586,1,21,26,2369,73,3.78,71.75,8,197,14,1,15.67,1,0,0,1
2119,2,35,7,2369,76,4.1,75.75,8.7,199,14,1,15,1,0,0,0
1779,1,28,23,4722,81,4.31,82.75,9.1,185.5,14.5,2,12.33,1,0,0,1
2170,2,37,2,4722,84,4.82,82.25,9.55,180.5,14,2.33,17,1,0,0,0
1287,1,11,7,11430,69,4.02,78.5,8.4,175.5,11,2,14.33,1,0,0,1
